Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-25 15:46:54.0082;1;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-25 15:46:56.5676;44;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-25 15:46:56.7361;45;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-25 15:47:01.5668;709;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-25 15:47:03.5585;994;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.6437;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-25 15:47:06.5060;1416;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6565;1;(0.669 0.655 0.659 0.664 0.663 0.658 0.657 0.645 );NULL
InputWindowChange;2021-01-25 15:47:06.5100;1416;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;0;-2.0526;0.0000;Running;1.6437;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:06.5120;1416;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;0;-2.0526;0.0000;Running;1.6437;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-25 15:47:06.6267;1433;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6119;1;(0.612 0.655 0.659 0.664 0.663 0.658 0.657 0.641 );NULL
InputWindowChange;2021-01-25 15:47:10.5577;1996;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;1;0.0000;0.0000;Running;2.6557;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-25 15:47:15.0563;2640;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6568;2;(0.658 0.644 0.673 0.657 0.649 0.679 0.667 0.652 );NULL
InputWindowChange;2021-01-25 15:47:15.0573;2640;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;1;-0.5013;0.0000;Running;2.6557;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:15.0583;2640;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;1;-0.5013;0.0000;Running;2.6557;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-25 15:47:15.0703;2642;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6299;2;(0.658 0.644 0.673 0.657 0.664 0.630 0.667 0.652 );NULL
InputWindowChange;2021-01-25 15:47:17.5588;2998;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Open;2;0.0000;0.0000;Running;2.3997;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-25 15:47:21.3167;3536;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6738;3;(0.675 0.676 0.680 0.677 0.674 0.657 0.687 0.679 );NULL
InputWindowChange;2021-01-25 15:47:21.3177;3536;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;2;-1.2410;0.0000;Running;2.3997;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-25 15:47:21.3177;3536;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;NULL;Closed;2;-1.2410;0.0000;Running;2.3997;17;0.1500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-25 15:47:21.5689;3572;5fb9a60dd81ee06de5f0f955cbda9d7d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6322;3;(0.632 0.676 0.680 0.677 0.674 0.705 0.673 0.642 );NULL
