Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-26 09:26:21.0147;1;5be28eec234aef418ee94ade80d62707;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 09:26:23.5783;17;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 09:26:23.8137;18;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:26:45.7008;1185;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.7472;1;(0.718 0.710 0.700 0.703 0.713 0.703 0.706 0.747 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:26:45.8315;1193;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.6856;1;(0.711 0.686 0.700 0.703 0.713 0.703 0.706 0.747 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 09:26:53.3586;1612;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-26 09:26:55.3368;1727;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Open;0;0.0000;0.0000;Running;3.2798;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:26:56.0484;1769;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.7883;2;(0.721 0.742 0.799 0.789 0.792 0.788 0.706 0.702 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:26:56.0504;1769;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Closed;0;-4.2847;0.0000;Running;3.2798;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:26:56.0564;1769;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Closed;0;-4.2847;0.0000;Running;3.2798;9;0.0500;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-26 09:26:57.2117;1837;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.6945;2;(0.695 0.773 0.733 0.708 0.728 0.746 0.732 0.726 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:26:59.6143;1978;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.7833;3;(0.701 0.701 0.714 0.727 0.723 0.757 0.779 0.783 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:27:00.5111;2030;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.6959;3;(0.750 0.774 0.793 0.758 0.755 0.747 0.696 0.788 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:27:02.3470;2138;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Open;1;0.0000;0.0000;Running;2.5527;9;0.0500;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:27:02.9454;2173;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.7999;4;(0.725 0.751 0.765 0.737 0.738 0.786 0.792 0.800 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:27:04.9034;2288;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Closed;1;-2.4452;0.0000;Running;2.5527;9;0.0500;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:27:04.9074;2288;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Closed;1;-2.4452;0.0000;Running;2.5527;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
Rest;2021-01-26 09:27:06.2660;2368;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.6809;4;(0.832 0.830 0.820 0.776 0.741 0.722 0.681 0.831 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:27:09.3468;2547;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Open;2;0.0000;0.0000;Running;2.4444;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-26 09:27:09.9651;2583;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.8525;5;(0.791 0.818 0.814 0.828 0.852 0.740 0.783 0.785 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:27:11.1470;2653;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.6950;5;(0.695 0.819 0.820 0.803 0.786 0.768 0.720 0.711 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 09:27:11.8083;2692;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Closed;2;-2.5393;0.0000;Running;2.4444;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-26 09:27:11.8093;2692;5be28eec234aef418ee94ade80d62707;anonymous;NULL;NULL;NULL;NULL;Closed;2;-2.5393;0.0000;Running;2.4444;9;0.0500;4;0.1000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
MotorImagery;2021-01-26 09:27:12.1434;2712;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.7574;6;(0.740 0.741 0.757 0.701 0.718 0.724 0.738 0.753 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-26 09:27:12.3998;2727;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.6986;6;(0.740 0.741 0.757 0.739 0.719 0.699 0.738 0.753 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 09:27:14.0764;2825;5be28eec234aef418ee94ade80d62707;anonymous;ReceivingData;0.7227;7;(0.743 0.719 0.723 0.767 0.761 0.757 0.776 0.743 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
