Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-01-26 11:14:01.2441;1;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:14:03.8124;15;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:14:03.9421;23;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 11:14:15.9889;603;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:14:17.9746;706;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.3557;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:14:22.9724;1003;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;0;0.0014;0.0000;Running;2.3557;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:14:22.9784;1003;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;0;0.0014;0.0000;Running;2.3557;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:14:24.9846;1122;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Open;1;0.0000;0.0000;Running;1.9204;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:14:29.9960;1417;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;1;0.0100;0.0000;Running;1.9204;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:14:30.0020;1417;9a76b2a3428b49b376e6b5d643f1ec45;anonymous;NULL;Closed;1;0.0100;0.0000;Running;1.9204;20;0.0000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
