Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber;BCIThresholdBuffer
BCIStateUpdated;2021-01-26 11:17:27.5094;1;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:17:30.0805;18;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-26 11:17:30.1736;24;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-26 11:17:52.6644;1149;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:17:54.6350;1261;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.4744;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:17:59.6318;1557;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;0;0.0004;0.0000;Running;1.4744;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:17:59.6428;1557;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;0;0.0004;0.0000;Running;1.4744;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL;NULL
InputWindowChange;2021-01-26 11:18:01.6408;1676;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;1;0.0000;0.0000;Running;3.3805;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-26 11:18:05.1893;1886;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7807;1;(0.804 0.781 0.710 0.767 0.799 0.817 0.836 0.824 )
InputWindowChange;2021-01-26 11:18:05.1933;1886;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;1;-1.4501;0.0000;Running;3.3805;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-26 11:18:05.2023;1886;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Closed;1;-1.4501;0.0000;Running;3.3805;13;0.0500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL;NULL
Rest;2021-01-26 11:18:05.8183;1923;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6467;1;(0.782 0.784 0.766 0.647 0.805 0.814 0.798 0.792 )
InputWindowChange;2021-01-26 11:18:08.6395;2090;a4d29b0f65484b8b0f4bc8f016da504f;anonymous;NULL;Open;2;0.0000;0.0000;Running;1.7498;13;0.0500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
