Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-28 11:20:18.3968;1;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:20:24.6841;112;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:20:30.8779;242;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:20:37.0795;373;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:20:43.4084;503;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:20:49.5959;633;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:20:55.7942;763;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 11:21:00.3559;794;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 11:21:02.0119;893;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;0;0.0000;0.0000;Running;4.4445;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:21:02.0119;893;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:21:08.2004;1023;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:21:14.3947;1153;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;0;0.0106;0.0000;Running;4.4445;10;0.0000;0;0.0000;10;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:21:14.3987;1153;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;0;0.0106;0.0000;Running;4.4445;11;0.0000;0;0.0000;8;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:21:14.4066;1154;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:21:20.0758;1253;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;1;0.0000;0.0000;Running;4.6799;11;0.0000;0;0.0000;8;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:21:20.5956;1284;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:21:26.7936;1414;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:21:32.4582;1513;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;1;0.0160;0.0000;Running;4.6799;11;0.0000;0;0.0000;8;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:21:32.4597;1513;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;1;0.0160;0.0000;Running;4.6799;12;0.0000;0;0.0000;6;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:21:32.9762;1544;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:21:38.1258;1612;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;2;0.0000;0.0000;Running;1.1658;12;0.0000;0;0.0000;6;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:21:39.1704;1674;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:21:45.3648;1804;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:21:50.5131;1871;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;2;0.0011;0.0000;Running;1.1658;12;0.0000;0;0.0000;6;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:21:50.5191;1871;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;2;0.0011;0.0000;Running;1.1658;13;0.0000;0;0.0000;4;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:21:51.5722;1934;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:21:56.1981;1971;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Open;3;0.0000;0.0000;Running;4.5820;13;0.0000;0;0.0000;4;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
BCIStateUpdated;2021-01-28 11:21:57.7648;2064;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 11:22:03.9617;2194;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-28 11:22:08.5933;2231;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;3;0.0158;0.0000;Running;4.5820;13;0.0000;0;0.0000;4;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 11:22:08.5963;2231;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;NULL;Closed;3;0.0158;0.0000;Running;4.5820;14;0.0000;0;0.0000;2;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
BCIStateUpdated;2021-01-28 11:22:10.1554;2324;cbbb9d32edb8bc0dd8d7a1b6bd227721;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
