Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-28 13:10:34.3753;1;155c5edae721059dbd93b78386d08eec;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:10:36.9531;17;155c5edae721059dbd93b78386d08eec;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:10:37.0518;23;155c5edae721059dbd93b78386d08eec;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 13:10:42.3656;244;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:10:44.3260;350;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.5029;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:10:46.8373;499;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;0;-2.4817;0.0000;Running;2.5029;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:10:46.8403;499;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;0;-2.4817;0.0000;Running;2.5029;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput
InputWindowChange;2021-01-28 13:10:51.3275;765;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Open;1;0.0000;0.0000;Running;2.8498;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-28 13:10:56.3364;1061;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;1;0.0125;0.0000;Running;2.8498;10;0.0000;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-28 13:10:56.3374;1061;155c5edae721059dbd93b78386d08eec;anonymous;NULL;Closed;1;0.0125;0.0000;Running;2.8498;10;0.0000;5;0.0500;3;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;RejInput
