Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;BCIThresholdBuffer;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-29 10:54:33.5977;1;cd70a0896af4e6c279fc083948547cd2;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:54:36.1645;17;cd70a0896af4e6c279fc083948547cd2;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:54:36.2298;21;cd70a0896af4e6c279fc083948547cd2;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:54:36.7367;51;cd70a0896af4e6c279fc083948547cd2;anonymous;ReceivingData;0.6931;1;(0.693 0.692 0.689 0.691 0.713 0.762 0.783 0.761 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:54:36.7536;52;cd70a0896af4e6c279fc083948547cd2;anonymous;ReceivingData;0.5918;1;(0.693 0.592 0.689 0.691 0.713 0.762 0.783 0.761 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 10:54:47.8362;598;cd70a0896af4e6c279fc083948547cd2;anonymous;NULL;NULL;NULL;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 10:54:48.2620;623;cd70a0896af4e6c279fc083948547cd2;anonymous;ReceivingData;0.8293;2;(0.813 0.829 0.665 0.682 0.701 0.708 0.737 0.782 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 10:54:49.1570;675;cd70a0896af4e6c279fc083948547cd2;anonymous;ReceivingData;0.6294;2;(0.629 0.821 0.829 0.803 0.783 0.742 0.716 0.700 );NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 10:54:49.8147;714;cd70a0896af4e6c279fc083948547cd2;anonymous;NULL;NULL;NULL;NULL;Open;0;0.0000;0.0000;Running;1.2392;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-29 10:54:54.8357;1009;cd70a0896af4e6c279fc083948547cd2;anonymous;NULL;NULL;NULL;NULL;Closed;0;0.0147;0.0000;Running;1.2392;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 10:54:54.8387;1009;cd70a0896af4e6c279fc083948547cd2;anonymous;NULL;NULL;NULL;NULL;Closed;0;0.0147;0.0000;Running;1.2392;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
