Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;BCIThresholdBuffer;TrialGoal
BCIStateUpdated;2021-01-29 10:51:17.1207;1;195be1e94806e96dde116d6d9fbc7635;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:51:19.6955;18;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 10:51:19.7883;19;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 10:51:22.2436;124;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 10:51:24.2150;229;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.9910;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 10:51:24.5785;247;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7042;1;(0.697 0.704 0.657 0.670 0.690 0.702 0.687 0.695 );NULL
InputWindowChange;2021-01-29 10:51:24.6024;247;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;0;-4.6347;0.0000;Running;2.9910;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL;NULL
GameDecision;2021-01-29 10:51:24.6064;247;195be1e94806e96dde116d6d9fbc7635;anonymous;NULL;Closed;0;-4.6347;0.0000;Running;2.9910;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;NULL;AccInput
Rest;2021-01-29 10:51:25.1303;274;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6325;1;(0.658 0.655 0.674 0.633 0.669 0.669 0.665 0.655 );NULL
MotorImagery;2021-01-29 10:51:30.9692;608;195be1e94806e96dde116d6d9fbc7635;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7324;2;(0.715 0.720 0.727 0.731 0.732 0.657 0.667 0.680 );NULL
