Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-02-02 11:30:57.1308;18;230677e88f526290f5b90b1c2917b680;anonymous;0.0593;ReceivingData
Sample;2021-02-02 11:30:57.1747;19;230677e88f526290f5b90b1c2917b680;anonymous;0.0745;ReceivingData
Sample;2021-02-02 11:30:57.2435;21;230677e88f526290f5b90b1c2917b680;anonymous;0.0836;ReceivingData
Sample;2021-02-02 11:30:57.2734;22;230677e88f526290f5b90b1c2917b680;anonymous;0.0644;ReceivingData
Sample;2021-02-02 11:30:57.3133;23;230677e88f526290f5b90b1c2917b680;anonymous;0.0570;ReceivingData
Sample;2021-02-02 11:30:57.3562;25;230677e88f526290f5b90b1c2917b680;anonymous;0.0555;ReceivingData
Sample;2021-02-02 11:30:57.3772;26;230677e88f526290f5b90b1c2917b680;anonymous;0.0598;ReceivingData
Sample;2021-02-02 11:30:57.5008;33;230677e88f526290f5b90b1c2917b680;anonymous;0.0490;ReceivingData
Sample;2021-02-02 11:30:57.5168;34;230677e88f526290f5b90b1c2917b680;anonymous;0.0533;ReceivingData
Sample;2021-02-02 11:30:57.6809;43;230677e88f526290f5b90b1c2917b680;anonymous;0.0585;ReceivingData
Sample;2021-02-02 11:30:57.6989;44;230677e88f526290f5b90b1c2917b680;anonymous;0.0599;ReceivingData
Sample;2021-02-02 11:30:57.7338;46;230677e88f526290f5b90b1c2917b680;anonymous;0.0478;ReceivingData
Sample;2021-02-02 11:30:57.7557;47;230677e88f526290f5b90b1c2917b680;anonymous;0.0505;ReceivingData
Sample;2021-02-02 11:30:57.9139;53;230677e88f526290f5b90b1c2917b680;anonymous;0.0589;ReceivingData
Sample;2021-02-02 11:30:57.9388;54;230677e88f526290f5b90b1c2917b680;anonymous;0.0646;ReceivingData
Sample;2021-02-02 11:30:58.0136;58;230677e88f526290f5b90b1c2917b680;anonymous;0.0733;ReceivingData
Sample;2021-02-02 11:30:58.0326;59;230677e88f526290f5b90b1c2917b680;anonymous;0.1295;ReceivingData
Sample;2021-02-02 11:30:58.2116;68;230677e88f526290f5b90b1c2917b680;anonymous;0.1727;ReceivingData
