Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-01-28 13:15:36.6175;1;190bce0a053ce8c6b08aeb6874096c7c;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:15:39.1986;12;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-28 13:15:39.2415;14;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-28 13:15:40.9085;128;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:15:49.1524;721;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.6109;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 13:15:52.8009;972;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7225;1;NULL
InputWindowChange;2021-01-28 13:15:52.8029;972;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;0;-0.3307;0.0000;Running;1.6109;10;0.0000;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:15:52.8049;972;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;0;-0.3307;0.0000;Running;1.6109;9;0.0500;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-01-28 13:15:53.3406;1010;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7160;1;NULL
InputWindowChange;2021-01-28 13:16:02.0445;1577;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;1;-0.3307;0.0000;Running;1.7103;9;0.0500;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-28 13:16:03.7428;1696;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;1;-2.6198;0.0000;Running;1.7103;9;0.0500;6;0.0000;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-28 13:16:03.7438;1696;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;1;-2.6198;0.0000;Running;1.7103;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;FabInput;NULL;NULL;FabInput
InputWindowChange;2021-01-28 13:16:13.9592;2399;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Open;2;-2.6198;0.0000;Running;1.9187;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-28 13:16:14.7937;2458;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7239;2;NULL
Rest;2021-01-28 13:16:15.4050;2500;190bce0a053ce8c6b08aeb6874096c7c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7156;2;NULL
InputWindowChange;2021-01-28 13:16:15.8680;2532;190bce0a053ce8c6b08aeb6874096c7c;anonymous;NULL;Closed;2;-4.6961;0.0000;Running;1.9187;9;0.0500;5;0.0500;4;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
