Event;Timestamp;Framecount;SessionID;Email;BCIState;BCIConfidence;InputNumber;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal
BCIStateUpdated;2021-01-29 11:08:20.8021;1;cff4be8dd8fa00ee678abf493b34725d;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 11:08:23.3264;58;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 11:08:23.3649;59;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:24.2375;119;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6552;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 11:08:25.0342;148;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-29 11:08:25.4034;169;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6280;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:30.2037;498;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6691;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:08:31.6005;610;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6095;2;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:08:33.2716;741;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Open;0;0.0000;0.0000;Running;1.2986;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
MotorImagery;2021-01-29 11:08:35.5342;931;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6521;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:08:35.5352;931;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;0;-1.7265;0.0000;Running;1.2986;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:08:35.5462;931;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;0;-1.7265;0.0000;Running;1.2986;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-29 11:08:35.5522;932;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6309;3;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:35.9701;967;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6509;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:08:36.0838;976;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6199;4;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:36.2034;986;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6639;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:08:36.3211;996;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6291;5;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:08:45.4242;1712;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Open;1;-1.7265;0.0000;Running;2.6608;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
InputWindowChange;2021-01-29 11:08:49.4296;2044;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;1;-1.7156;0.0000;Running;2.6608;13;0.0500;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:08:49.4316;2044;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;1;-1.7156;0.0000;Running;2.6608;13;0.0500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput
MotorImagery;2021-01-29 11:08:50.6612;2141;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.7116;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:08:51.3953;2205;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6465;6;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:51.5329;2216;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6635;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:08:51.6346;2224;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6228;7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:54.4666;2444;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6766;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:08:54.8365;2475;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.5980;8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:58.9371;2810;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6943;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:08:59.0757;2822;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6400;9;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:08:59.2123;2833;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6720;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:08:59.7861;2880;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Open;2;-1.7156;0.0000;Running;1.9099;13;0.0500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
Rest;2021-01-29 11:09:01.2422;2998;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6426;10;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:01.2581;2999;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6649;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
InputWindowChange;2021-01-29 11:09:01.2581;2999;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;2;-4.2391;0.0000;Running;1.9099;13;0.0500;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL
GameDecision;2021-01-29 11:09:01.2591;2999;cff4be8dd8fa00ee678abf493b34725d;anonymous;NULL;NULL;NULL;Closed;2;-4.2391;0.0000;Running;1.9099;12;0.1000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput
Rest;2021-01-29 11:09:01.3930;3010;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6293;11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:01.6293;3029;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6614;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:01.7530;3039;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.5561;12;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:07.1260;3464;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6627;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:07.2596;3474;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6355;13;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
MotorImagery;2021-01-29 11:09:09.8047;3674;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.7118;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
Rest;2021-01-29 11:09:10.0384;3694;cff4be8dd8fa00ee678abf493b34725d;anonymous;ReceivingData;0.6436;14;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
