Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-29 11:13:53.4111;83;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2974;ReceivingData
Sample;2021-01-29 11:13:53.4270;84;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2994;ReceivingData
Sample;2021-01-29 11:13:53.4360;85;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3271;ReceivingData
Sample;2021-01-29 11:13:53.4689;86;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2967;ReceivingData
Sample;2021-01-29 11:13:53.4749;87;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3041;ReceivingData
Sample;2021-01-29 11:13:53.6100;96;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3433;ReceivingData
Sample;2021-01-29 11:13:53.6180;97;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3248;ReceivingData
Sample;2021-01-29 11:13:53.7264;105;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3543;ReceivingData
Sample;2021-01-29 11:13:53.7399;106;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4162;ReceivingData
Sample;2021-01-29 11:13:53.8227;112;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4293;ReceivingData
Sample;2021-01-29 11:13:53.8322;113;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3805;ReceivingData
Sample;2021-01-29 11:13:53.9838;125;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3177;ReceivingData
Sample;2021-01-29 11:13:53.9967;126;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2429;ReceivingData
Sample;2021-01-29 11:13:54.0895;133;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2413;ReceivingData
Sample;2021-01-29 11:13:54.0955;134;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2479;ReceivingData
Sample;2021-01-29 11:13:54.2660;138;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2504;ReceivingData
Sample;2021-01-29 11:13:54.2780;139;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2454;ReceivingData
Sample;2021-01-29 11:13:54.3528;146;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2391;ReceivingData
Sample;2021-01-29 11:13:54.3568;147;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2275;ReceivingData
Sample;2021-01-29 11:13:54.3697;148;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2409;ReceivingData
Sample;2021-01-29 11:13:54.4495;152;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2118;ReceivingData
Sample;2021-01-29 11:13:54.4575;153;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2132;ReceivingData
Sample;2021-01-29 11:13:54.5852;162;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2081;ReceivingData
Sample;2021-01-29 11:13:54.5911;163;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2046;ReceivingData
Sample;2021-01-29 11:13:54.7482;177;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2008;ReceivingData
Sample;2021-01-29 11:13:54.7602;178;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2042;ReceivingData
Sample;2021-01-29 11:13:54.8470;186;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2285;ReceivingData
Sample;2021-01-29 11:13:54.8549;187;981741088527cb9eaa572c25c4b9fccf;anonymous;0.2878;ReceivingData
Sample;2021-01-29 11:13:54.9557;197;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4213;ReceivingData
Sample;2021-01-29 11:13:54.9626;198;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4718;ReceivingData
Sample;2021-01-29 11:13:55.0983;211;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4742;ReceivingData
Sample;2021-01-29 11:13:55.1053;212;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4899;ReceivingData
Sample;2021-01-29 11:13:55.2315;225;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5177;ReceivingData
Sample;2021-01-29 11:13:55.2395;226;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5140;ReceivingData
Sample;2021-01-29 11:13:55.3687;240;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5083;ReceivingData
Sample;2021-01-29 11:13:55.3787;241;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5006;ReceivingData
Sample;2021-01-29 11:13:55.3916;242;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5076;ReceivingData
Sample;2021-01-29 11:13:55.4810;251;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5213;ReceivingData
Sample;2021-01-29 11:13:55.4910;252;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4744;ReceivingData
Sample;2021-01-29 11:13:55.6037;260;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4596;ReceivingData
Sample;2021-01-29 11:13:55.6096;261;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4435;ReceivingData
Sample;2021-01-29 11:13:55.7799;275;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4503;ReceivingData
Sample;2021-01-29 11:13:55.7908;276;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4647;ReceivingData
Sample;2021-01-29 11:13:55.8714;281;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4500;ReceivingData
Sample;2021-01-29 11:13:55.8933;282;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4434;ReceivingData
Sample;2021-01-29 11:13:56.0259;292;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4392;ReceivingData
Sample;2021-01-29 11:13:56.0389;293;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4786;ReceivingData
Sample;2021-01-29 11:13:56.1287;299;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4357;ReceivingData
Sample;2021-01-29 11:13:56.1356;300;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4136;ReceivingData
Sample;2021-01-29 11:13:56.2474;308;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4208;ReceivingData
Sample;2021-01-29 11:13:56.2573;309;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4756;ReceivingData
Sample;2021-01-29 11:13:56.2673;310;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4594;ReceivingData
Sample;2021-01-29 11:13:56.3660;317;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4558;ReceivingData
Sample;2021-01-29 11:13:56.3880;318;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4540;ReceivingData
Sample;2021-01-29 11:13:56.5645;330;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4856;ReceivingData
Sample;2021-01-29 11:13:56.5914;331;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5244;ReceivingData
Sample;2021-01-29 11:13:56.6593;336;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4919;ReceivingData
Sample;2021-01-29 11:13:56.6642;337;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5055;ReceivingData
Sample;2021-01-29 11:13:56.7580;343;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4912;ReceivingData
Sample;2021-01-29 11:13:56.7640;344;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4753;ReceivingData
Sample;2021-01-29 11:13:56.9152;353;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5023;ReceivingData
Sample;2021-01-29 11:13:56.9307;354;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5435;ReceivingData
Sample;2021-01-29 11:13:57.0579;361;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5332;ReceivingData
Sample;2021-01-29 11:13:57.0679;362;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5429;ReceivingData
Sample;2021-01-29 11:13:57.1596;367;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5685;ReceivingData
Sample;2021-01-29 11:13:57.1766;368;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5128;ReceivingData
Sample;2021-01-29 11:13:57.2923;375;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4346;ReceivingData
Sample;2021-01-29 11:13:57.3122;376;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3674;ReceivingData
Sample;2021-01-29 11:13:57.3262;377;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3916;ReceivingData
Sample;2021-01-29 11:13:57.4339;384;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4239;ReceivingData
Sample;2021-01-29 11:13:57.4608;385;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4111;ReceivingData
Sample;2021-01-29 11:13:57.5705;393;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3770;ReceivingData
Sample;2021-01-29 11:13:57.5950;394;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3935;ReceivingData
Sample;2021-01-29 11:13:57.6914;400;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4213;ReceivingData
Sample;2021-01-29 11:13:57.7003;401;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4028;ReceivingData
Sample;2021-01-29 11:13:57.8140;408;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4208;ReceivingData
Sample;2021-01-29 11:13:57.8230;409;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4061;ReceivingData
Sample;2021-01-29 11:13:57.9477;418;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4020;ReceivingData
Sample;2021-01-29 11:13:57.9557;419;981741088527cb9eaa572c25c4b9fccf;anonymous;0.3801;ReceivingData
Sample;2021-01-29 11:13:58.0454;426;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4246;ReceivingData
Sample;2021-01-29 11:13:58.0534;427;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4125;ReceivingData
Sample;2021-01-29 11:13:58.1651;437;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4545;ReceivingData
Sample;2021-01-29 11:13:58.1781;438;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5378;ReceivingData
Sample;2021-01-29 11:13:58.1930;439;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5676;ReceivingData
Sample;2021-01-29 11:13:58.2962;449;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5235;ReceivingData
Sample;2021-01-29 11:13:58.3082;450;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4779;ReceivingData
Sample;2021-01-29 11:13:58.4278;460;981741088527cb9eaa572c25c4b9fccf;anonymous;0.4740;ReceivingData
Sample;2021-01-29 11:13:58.4348;461;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5085;ReceivingData
Sample;2021-01-29 11:13:58.5924;475;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5389;ReceivingData
Sample;2021-01-29 11:13:58.5974;476;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5261;ReceivingData
Sample;2021-01-29 11:13:58.6901;483;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5512;ReceivingData
Sample;2021-01-29 11:13:58.6971;484;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5839;ReceivingData
Sample;2021-01-29 11:13:58.8128;493;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5784;ReceivingData
Sample;2021-01-29 11:13:58.8258;494;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5836;ReceivingData
Sample;2021-01-29 11:13:58.9445;504;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5899;ReceivingData
Sample;2021-01-29 11:13:58.9584;505;981741088527cb9eaa572c25c4b9fccf;anonymous;0.5918;ReceivingData
