Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-01-29 14:49:34.0345;1;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:49:36.5582;60;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-01-29 14:49:36.6150;70;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-01-29 14:50:07.5857;662;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:50:18.6494;1422;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;0;0.0000;0.0000;Running;1.9275;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:50:22.6331;1714;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;0;0.0026;0.0000;Running;1.9275;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:50:22.6451;1714;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;0;0.0026;0.0000;Running;1.9275;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:50:33.8155;2454;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;1;0.0026;0.0000;Running;2.6947;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:50:37.7951;2728;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;1;0.0043;0.0000;Running;2.6947;20;0.0000;0;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:50:37.7981;2728;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;1;0.0043;0.0000;Running;2.6947;20;0.0000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:50:48.8149;3482;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;2;0.0043;0.0000;Running;1.5449;20;0.0000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 14:50:52.5585;3741;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7515;1
InputWindowChange;2021-01-29 14:50:52.5585;3741;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;2;-0.2345;0.0000;Running;1.5449;20;0.0000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:50:52.5595;3741;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;2;-0.2345;0.0000;Running;1.5449;19;0.0500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 14:50:52.6867;3750;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7465;1
MotorImagery;2021-01-29 14:50:56.5044;4019;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7552;2
Rest;2021-01-29 14:50:56.6531;4029;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7267;2
InputWindowChange;2021-01-29 14:51:01.7017;4380;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;3;-0.2345;0.0000;Running;2.8162;19;0.0500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-29 14:51:04.8242;4591;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7504;3
InputWindowChange;2021-01-29 14:51:04.8242;4591;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;3;-1.1012;0.0000;Running;2.8162;19;0.0500;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:51:04.8252;4591;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;3;-1.1012;0.0000;Running;2.8162;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;AccInput;AccInput;NULL;NULL
Rest;2021-01-29 14:51:04.9639;4601;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7468;3
MotorImagery;2021-01-29 14:51:05.3325;4625;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7667;4
Rest;2021-01-29 14:51:05.5623;4640;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7011;4
MotorImagery;2021-01-29 14:51:09.9324;4944;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7660;5
Rest;2021-01-29 14:51:10.1718;4962;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7430;5
InputWindowChange;2021-01-29 14:51:14.1307;5231;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;4;-1.1012;0.0000;Running;1.0448;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:51:18.1093;5500;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;4;-1.0969;0.0000;Running;1.0448;18;0.1000;0;0.0000;0;0.1000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:51:18.1193;5500;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;4;-1.0969;0.0000;Running;1.0448;18;0.1000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:51:28.4546;6219;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;5;-1.0969;0.0000;Running;2.4051;18;0.1000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:51:32.4639;6495;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;5;-1.0676;0.0000;Running;2.4051;18;0.1000;0;0.0000;0;0.1500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:51:32.4649;6495;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;5;-1.0676;0.0000;Running;2.4051;18;0.1000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-01-29 14:51:43.2616;7248;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;6;-1.0676;0.0000;Running;1.4153;18;0.1000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:51:47.2515;7519;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;6;-1.0502;0.0000;Running;1.4153;18;0.1000;0;0.0000;0;0.2000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-29 14:51:47.2595;7519;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;6;-1.0502;0.0000;Running;1.4153;18;0.1000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-29 14:51:47.8587;7557;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7710;6
Rest;2021-01-29 14:51:48.7719;7621;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7061;6
InputWindowChange;2021-01-29 14:51:58.0476;8269;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Open;7;-1.0502;0.0000;Running;1.8979;18;0.1000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-29 14:52:02.0558;8548;c21ed5e8bd13e05e22477ef7b14c8718;anonymous;NULL;Closed;7;-1.0269;0.0000;Running;1.8979;18;0.1000;0;0.0000;0;0.2500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
