Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;BCIConfidence;InputNumber;TrialGoal
BCIStateUpdated;2021-02-02 12:47:39.8827;1;470070b48511d3509a2ef46059a6d190;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 12:47:42.3930;83;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 12:47:42.5207;87;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-02-02 12:47:44.2012;196;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 12:47:52.7267;727;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.2184;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 12:47:55.8588;961;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7437;1;NULL
InputWindowChange;2021-02-02 12:47:55.8607;961;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;0;-0.8554;0.0000;Running;2.2184;20;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:47:55.8647;961;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;0;-0.8554;0.0000;Running;2.2184;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:47:56.5644;1012;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7102;1;NULL
InputWindowChange;2021-02-02 12:48:05.4566;1591;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;1;-0.8554;0.0000;Running;2.9295;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 12:48:08.1824;1770;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7231;2;NULL
InputWindowChange;2021-02-02 12:48:08.1824;1770;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;1;-2.1124;0.0000;Running;2.9295;19;0.0500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:48:08.1834;1770;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;1;-2.1124;0.0000;Running;2.9295;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:48:08.2831;1776;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7161;2;NULL
MotorImagery;2021-02-02 12:48:08.3579;1781;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7369;3;NULL
Rest;2021-02-02 12:48:08.5362;1793;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7081;3;NULL
MotorImagery;2021-02-02 12:48:15.1646;2248;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7348;4;NULL
Rest;2021-02-02 12:48:15.2664;2256;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7172;4;NULL
InputWindowChange;2021-02-02 12:48:17.9876;2435;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;2;-2.1124;0.0000;Running;2.0232;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 12:48:19.5541;2540;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7290;5;NULL
InputWindowChange;2021-02-02 12:48:19.5551;2540;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;2;-4.5267;0.0000;Running;2.0232;18;0.1000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:48:19.5551;2540;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;2;-4.5267;0.0000;Running;2.0232;17;0.1500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:48:19.6279;2545;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7097;5;NULL
MotorImagery;2021-02-02 12:48:20.8041;2625;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7377;6;NULL
Rest;2021-02-02 12:48:21.5482;2676;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7111;6;NULL
MotorImagery;2021-02-02 12:48:27.4666;3080;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7264;7;NULL
Rest;2021-02-02 12:48:28.3231;3132;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6523;7;NULL
InputWindowChange;2021-02-02 12:48:29.8628;3230;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;3;-4.5267;0.0000;Running;1.5280;17;0.1500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 12:48:32.1576;3382;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7213;8;NULL
InputWindowChange;2021-02-02 12:48:32.1576;3382;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;3;-6.2221;0.0000;Running;1.5280;17;0.1500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:48:32.1596;3382;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;3;-6.2221;0.0000;Running;1.5280;16;0.2000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:48:32.4309;3402;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7109;8;NULL
MotorImagery;2021-02-02 12:48:32.6852;3419;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7302;9;NULL
Rest;2021-02-02 12:48:32.6952;3420;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6976;9;NULL
InputWindowChange;2021-02-02 12:48:42.1062;4053;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;4;-6.2221;0.0000;Running;2.0836;16;0.2000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-02-02 12:48:42.6472;4091;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7213;10;NULL
InputWindowChange;2021-02-02 12:48:42.6472;4091;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;4;-9.6680;0.0000;Running;2.0836;16;0.2000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:48:42.6482;4091;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;4;-9.6680;0.0000;Running;2.0836;15;0.2500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:48:42.6631;4092;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7038;10;NULL
MotorImagery;2021-02-02 12:48:45.7253;4309;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7428;11;NULL
Rest;2021-02-02 12:48:45.8291;4316;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7022;11;NULL
MotorImagery;2021-02-02 12:48:49.6844;4576;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7330;12;NULL
Rest;2021-02-02 12:48:49.7672;4582;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7084;12;NULL
MotorImagery;2021-02-02 12:48:50.0508;4600;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7203;13;NULL
Rest;2021-02-02 12:48:50.1822;4609;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7143;13;NULL
MotorImagery;2021-02-02 12:48:50.4190;4628;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7341;14;NULL
Rest;2021-02-02 12:48:50.4220;4629;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7162;14;NULL
MotorImagery;2021-02-02 12:48:50.8145;4655;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7356;15;NULL
Rest;2021-02-02 12:48:50.8274;4656;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7189;15;NULL
MotorImagery;2021-02-02 12:48:53.1317;4810;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7350;16;NULL
InputWindowChange;2021-02-02 12:48:53.4258;4829;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Open;5;-9.6680;0.0000;Running;1.0152;15;0.2500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
Rest;2021-02-02 12:48:54.3786;4894;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7072;16;NULL
MotorImagery;2021-02-02 12:48:55.7947;4994;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7346;17;NULL
InputWindowChange;2021-02-02 12:48:55.7947;4994;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;5;-11.2895;0.0000;Running;1.0152;15;0.2500;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 12:48:55.7967;4994;470070b48511d3509a2ef46059a6d190;anonymous;NULL;Closed;5;-11.2895;0.0000;Running;1.0152;14;0.3000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;AccInput;NULL;NULL;AccInput
Rest;2021-02-02 12:48:55.9293;5005;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7042;17;NULL
MotorImagery;2021-02-02 12:48:55.9752;5007;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7367;18;NULL
Rest;2021-02-02 12:48:56.0510;5012;470070b48511d3509a2ef46059a6d190;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6729;18;NULL
