Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
BCIStateUpdated;2021-02-02 15:17:45.4415;1;727b7293ebc281de3992879aa695411c;anonymous;Connecting;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 15:17:47.9749;119;727b7293ebc281de3992879aa695411c;anonymous;ReceivingHeader;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
BCIStateUpdated;2021-02-02 15:17:48.4079;121;727b7293ebc281de3992879aa695411c;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
GameRunning;2021-02-02 15:17:49.9668;209;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;0;0.0000;0.0000;Running;0.0000;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:17:58.1372;781;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;0;0.0000;0.0000;Running;2.7932;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:18:02.1300;1100;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;0;0.0011;0.0000;Running;2.7932;14;0.0000;6;0.0000;0;0.0000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:18:02.1440;1100;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;0;0.0011;0.0000;Running;2.7932;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
InputWindowChange;2021-02-02 15:18:12.9510;1876;727b7293ebc281de3992879aa695411c;anonymous;NULL;Open;1;0.0011;0.0000;Running;1.3164;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-02-02 15:18:14.2442;1962;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;1;-2.6795;0.0000;Running;1.3164;14;0.0000;6;0.0000;0;0.0500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-02-02 15:18:14.2472;1962;727b7293ebc281de3992879aa695411c;anonymous;NULL;Closed;1;-2.6795;0.0000;Running;1.3164;14;0.0000;5;0.0500;0;0.0500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
